a.type,a.name,a.operator,a.expression
casgn,ASSOCIATIVE,=,"ASSOCIATIVE = [:plus, :times]"
casgn,AS_BUILDER,=,AS_BUILDER    = 128
casgn,AS_HTML,=,AS_HTML         = 64
casgn,AS_XHTML,=,AS_XHTML        = 16
casgn,AS_XML,=,AS_XML          = 32
casgn,ATOMIC_WRITE_MUTEX,=,ATOMIC_WRITE_MUTEX = Mutex.new
casgn,ATTRIBUTE_DECL,=,ATTRIBUTE_DECL =     16
casgn,ATTRIBUTE_NODE,=,ATTRIBUTE_NODE =     2
casgn,ATTRS,=,"ATTRS = [COREATTRS, I18N,EVENTS]"
casgn,ATTR_VAL_IS_URI,=,ATTR_VAL_IS_URI = Set.new %w[href src cite action longdesc xlink:href xml:base poster preload]
casgn,AWAIT_ACTION,=,"AWAIT_ACTION = ->(value, latch) { latch.count_down; AWAIT_FLAG }"
casgn,AWAIT_FLAG,=,AWAIT_FLAG = Object.new
casgn,A_ATTRS,=,"A_ATTRS = [ATTRS, 'charset', 'type', 'name',
                 'href', 'hreflang', 'rel', 'rev', 'accesskey', 'shape',
                 'coords', 'tabindex', 'onfocus', 'onblur']"
casgn,AbortError,=,AbortError = Class.new(StandardError)
casgn,AmbiguousTaskError,=,AmbiguousTaskError = AmbiguousCommandError
casgn,AtExit,=,AtExit = AtExitImplementation.new.install
